CROPS,SOIL,SEASON,TEMP,HUMIDITY
Rice,Loamy soil,Rainy,24.7,63.2
Rice,Clay soil,Rainy,21,69.1
Rice,Alluvial soil,Rainy,33.8,78.7
Rice,Loamy soil,Rainy,26.2,66
Rice,Clay soil,Rainy,39.2,79.3
Rice,Alluvial soil,Rainy,38.8,63.6
Rice,Loamy soil,Rainy,38.5,61.3
Rice,Clay soil,Rainy,22,76.2
Rice,Alluvial soil,Rainy,28,62.4
Rice,Loamy soil,Rainy,25.2,66.7
Rice,Clay soil,Rainy,22.8,75.3
Rice,Alluvial soil,Rainy,33.1,73.6
Rice,Loamy soil,Rainy,28.6,65.6
Rice,Clay soil,Rainy,32.1,70.7
Rice,Alluvial soil,Rainy,25.7,64.7
Rice,Loamy soil,Rainy,35,60.2
Rice,Clay soil,Rainy,36.1,68.3
Rice,Alluvial soil,Rainy,35.7,71
Rice,Loamy soil,Rainy,38.7,74.1
Rice,Clay soil,Rainy,38.1,68.1
Rice,Alluvial soil,Rainy,31.8,73.3
Rice,Loamy soil,Rainy,21.4,67.2
Rice,Clay soil,Rainy,26.5,63.7
Rice,Alluvial soil,Rainy,39.1,79.1
Rice,Loamy soil,Rainy,28.8,66.1
Rice,Clay soil,Rainy,34,70.7
Rice,Alluvial soil,Rainy,33.1,68.2
Rice,Loamy soil,Rainy,39.5,72.4
Rice,Clay soil,Rainy,26.7,63.1
Rice,Alluvial soil,Rainy,38.1,65.2
Rice,Loamy soil,Rainy,26.8,73.7
Rice,Clay soil,Rainy,29.4,69.7
Rice,Alluvial soil,Rainy,34.3,60.1
Rice,Loamy soil,Rainy,22.2,64.5
Rice,Clay soil,Rainy,24.4,80
Rice,Alluvial soil,Rainy,33.3,72.8
Rice,Loamy soil,Rainy,25,72.7
Rice,Clay soil,Rainy,25.4,74.9
Rice,Alluvial soil,Rainy,21.4,66.8
Rice,Loamy soil,Rainy,31.1,66.4
Rice,Clay soil,Rainy,25.6,69.3
Rice,Alluvial soil,Rainy,33.9,67.2
Rice,Loamy soil,Rainy,37.3,75.2
Rice,Clay soil,Rainy,30.3,68.2
Rice,Alluvial soil,Rainy,25.7,78.4
Rice,Loamy soil,Rainy,28.3,65
Rice,Clay soil,Rainy,39.4,69.2
Rice,Alluvial soil,Rainy,23.5,76
Rice,Loamy soil,Rainy,30.7,69.2
Rice,Clay soil,Rainy,22.6,63.2
Rice,Alluvial soil,Rainy,25.8,62.9
Rice,Loamy soil,Rainy,31.7,73.8
Rice,Clay soil,Rainy,22.7,64.7
Rice,Alluvial soil,Rainy,37.1,76.6
Rice,Loamy soil,Rainy,23.1,70.3
Rice,Clay soil,Rainy,26.6,70.9
Rice,Alluvial soil,Rainy,32.7,76.4
Rice,Loamy soil,Rainy,23.8,70.6
Rice,Clay soil,Rainy,39.7,65
Rice,Alluvial soil,Rainy,34.5,73.5
Rice,Loamy soil,Rainy,33,66.2
Rice,Clay soil,Rainy,29.3,78.1
Rice,Alluvial soil,Rainy,33.2,71.3
Rice,Loamy soil,Rainy,32.8,67.7
Rice,Clay soil,Rainy,21.5,66.1
Rice,Alluvial soil,Rainy,29.1,74.9
Rice,Loamy soil,Rainy,27,64.9
Rice,Clay soil,Rainy,28.9,69
Rice,Alluvial soil,Rainy,36.1,64.8
Rice,Loamy soil,Rainy,37.8,65.7
Rice,Clay soil,Rainy,31.9,76
Rice,Alluvial soil,Rainy,24,62.9
Rice,Loamy soil,Rainy,38.6,75.2
Rice,Clay soil,Rainy,21.4,68
Rice,Alluvial soil,Rainy,35.6,77.7
Rice,Loamy soil,Rainy,28.3,62.6
Rice,Clay soil,Rainy,30.1,63.5
Rice,Alluvial soil,Rainy,21.2,71.5
Rice,Loamy soil,Rainy,30.3,65.7
Rice,Clay soil,Rainy,25.7,70.2
Rice,Alluvial soil,Rainy,29.5,78.6
Rice,Loamy soil,Rainy,29.4,61.2
Rice,Clay soil,Rainy,25.3,68.9
Rice,Alluvial soil,Rainy,21.2,70
Rice,Loamy soil,Rainy,39.5,62.8
Rice,Clay soil,Rainy,23.9,63.8
Rice,Alluvial soil,Rainy,36.5,75.3
Rice,Loamy soil,Rainy,25.2,71.4
Rice,Clay soil,Rainy,21.2,72.4
Rice,Alluvial soil,Rainy,24,78.9
Rice,Loamy soil,Rainy,29.2,75.2
Rice,Clay soil,Rainy,26.3,66.8
Rice,Alluvial soil,Rainy,28.9,62.6
Rice,Loamy soil,Rainy,28.7,70.1
Rice,Clay soil,Rainy,29.9,74.3
Rice,Alluvial soil,Rainy,29.4,76.6
Rice,Loamy soil,Rainy,27.7,71.6
Rice,Clay soil,Rainy,28.4,68
Rice,Alluvial soil,Rainy,33.1,64.5
Rice,Loamy soil,Rainy,22.1,64.2
Rice,Clay soil,Rainy,39.2,76.4
Rice,Alluvial soil,Rainy,34.1,60.8
Rice,Loamy soil,Rainy,26.7,68.5
Rice,Clay soil,Rainy,31.9,79.2
Rice,Alluvial soil,Rainy,26.6,60
Rice,Loamy soil,Rainy,30.9,79.5
Rice,Clay soil,Rainy,32.6,68.4
Rice,Alluvial soil,Rainy,22.8,68.2
Rice,Loamy soil,Rainy,37.6,63.7
Rice,Clay soil,Rainy,30.8,61.9
Rice,Alluvial soil,Rainy,26.3,76.2
Rice,Loamy soil,Rainy,30.8,62.7
Rice,Clay soil,Rainy,30.6,60.4
Rice,Alluvial soil,Rainy,28.7,60.2
Rice,Loamy soil,Rainy,33.1,74.9
Rice,Clay soil,Rainy,26.9,61.7
Rice,Alluvial soil,Rainy,31,64.6
Rice,Loamy soil,Rainy,24.3,64
Rice,Clay soil,Rainy,24.3,68.5
Rice,Alluvial soil,Rainy,26.5,66.4
Rice,Loamy soil,Rainy,24.5,69
Rice,Clay soil,Rainy,39.9,74.5
Rice,Alluvial soil,Rainy,39.8,75.9
Rice,Loamy soil,Rainy,21,63.1
Rice,Clay soil,Rainy,32.5,76.5
Rice,Alluvial soil,Rainy,27,66.6
Rice,Loamy soil,Rainy,36.6,77.7
Rice,Clay soil,Rainy,36.7,65.1
Rice,Alluvial soil,Rainy,21.3,63.6
Rice,Loamy soil,Rainy,35.6,79.1
Rice,Clay soil,Rainy,27.6,62.6
Rice,Alluvial soil,Rainy,31.5,71
Rice,Loamy soil,Rainy,39.4,74.9
Rice,Clay soil,Rainy,22.1,74.4
Rice,Alluvial soil,Rainy,34.7,79.1
Rice,Loamy soil,Rainy,27.9,75.3
Rice,Clay soil,Rainy,34.2,71.7
Rice,Alluvial soil,Rainy,30.2,68.7
Rice,Loamy soil,Rainy,37.9,60.3
Rice,Clay soil,Rainy,28.8,64.6
Rice,Alluvial soil,Rainy,23,66.4
Rice,Loamy soil,Rainy,20.6,62.3
Rice,Clay soil,Rainy,36.4,69.6
Rice,Alluvial soil,Rainy,39.3,60.7
Rice,Loamy soil,Rainy,33.9,61.5
Rice,Clay soil,Rainy,29.2,67.9
Rice,Alluvial soil,Rainy,26.2,76.5
Rice,Loamy soil,Rainy,35.1,76.8
Rice,Clay soil,Rainy,37.1,77.9
Rice,Alluvial soil,Rainy,38.5,60.5
Rice,Loamy soil,Rainy,32.1,61
Rice,Clay soil,Rainy,36.3,78.1
Rice,Alluvial soil,Rainy,28.8,68.3
Rice,Loamy soil,Rainy,20.5,78.3
Rice,Clay soil,Rainy,25.6,77.4
Rice,Alluvial soil,Rainy,35.1,69.8
Rice,Loamy soil,Rainy,20.6,69.5
Rice,Clay soil,Rainy,23.2,79.4
Rice,Alluvial soil,Rainy,29.4,75.3
Rice,Loamy soil,Rainy,25.3,76.8
Rice,Clay soil,Rainy,37.5,70.9
Rice,Alluvial soil,Rainy,22.8,73.7
Rice,Loamy soil,Rainy,22.1,63.9
Rice,Clay soil,Rainy,29,79
Rice,Alluvial soil,Rainy,36.2,75.9
Rice,Loamy soil,Rainy,27.6,70.7
Rice,Clay soil,Rainy,37.1,68.8
Rice,Alluvial soil,Rainy,25.7,68.3
Rice,Loamy soil,Rainy,24.7,60.1
Rice,Clay soil,Rainy,33.6,68
Rice,Alluvial soil,Rainy,30.2,72.8
Rice,Loamy soil,Rainy,35.2,68.1
Rice,Clay soil,Rainy,33.5,63.3
Rice,Alluvial soil,Rainy,34.5,72
Rice,Loamy soil,Rainy,38.2,66.2
Rice,Clay soil,Rainy,22,74.6
Rice,Alluvial soil,Rainy,29.6,67.4
Rice,Loamy soil,Rainy,38.9,70.2
Rice,Clay soil,Rainy,20.6,68.7
Rice,Alluvial soil,Rainy,37,76.1
Rice,Loamy soil,Rainy,27.7,66.9
Rice,Clay soil,Rainy,26.8,60.1
Rice,Alluvial soil,Rainy,26,74.5
Rice,Loamy soil,Rainy,27.7,68.1
Rice,Clay soil,Rainy,37.2,74.9
Rice,Alluvial soil,Rainy,38.5,73
Rice,Loamy soil,Rainy,33.9,63.9
Rice,Clay soil,Rainy,27.7,73.5
Rice,Alluvial soil,Rainy,30.4,79.3
Rice,Loamy soil,Rainy,31.2,62
Rice,Clay soil,Rainy,26.8,67.4
Rice,Alluvial soil,Rainy,24.1,60.5
Rice,Loamy soil,Rainy,31,64.1
Rice,Clay soil,Rainy,28.1,72.1
Rice,Alluvial soil,Rainy,34.5,78.3
Rice,Loamy soil,Rainy,36.1,77.5
Rice,Clay soil,Rainy,36.6,71.2
Rice,Alluvial soil,Rainy,22.2,62.6
Rice,Loamy soil,Rainy,32,70.5
Rice,Clay soil,Rainy,37.7,64.2
Rice,Alluvial soil,Rainy,37.2,61.5
Rice,Loamy soil,Rainy,27.9,78.2
Rice,Clay soil,Rainy,25.8,67.2
Rice,Alluvial soil,Rainy,31.9,71.1
Rice,Loamy soil,Rainy,31.6,71
Rice,Clay soil,Rainy,31,65.1
Rice,Alluvial soil,Rainy,21.9,67
Rice,Loamy soil,Rainy,34.9,73.7
Rice,Clay soil,Rainy,22.3,76
Rice,Alluvial soil,Rainy,38.5,61
Rice,Loamy soil,Rainy,23.1,70.1
Rice,Clay soil,Rainy,38.5,73.2
Rice,Alluvial soil,Rainy,39.3,66.2
Rice,Loamy soil,Rainy,24.4,68.5
Rice,Clay soil,Rainy,24.1,66.7
Rice,Alluvial soil,Rainy,21,64
Rice,Loamy soil,Rainy,24.1,72.1
Rice,Clay soil,Rainy,34.5,75.7
Rice,Alluvial soil,Rainy,35.6,65.5
Rice,Loamy soil,Rainy,33.3,71.6
Rice,Clay soil,Rainy,35.5,61.6
Rice,Alluvial soil,Rainy,40,61.6
Rice,Loamy soil,Rainy,21.3,63.3
Rice,Clay soil,Rainy,30.2,67.5
Rice,Alluvial soil,Rainy,36,63.7
Rice,Loamy soil,Rainy,36.1,79
Rice,Clay soil,Rainy,24.1,78.1
Rice,Alluvial soil,Rainy,21.3,78.1
Rice,Loamy soil,Rainy,27.4,75.3
Rice,Clay soil,Rainy,21.7,77.4
Rice,Alluvial soil,Rainy,36,69.9
Rice,Loamy soil,Rainy,24.6,70.6
Rice,Clay soil,Rainy,30.5,66.5
Rice,Alluvial soil,Rainy,25.6,74.4
Rice,Loamy soil,Rainy,29.4,70.9
Rice,Clay soil,Rainy,28.2,69.2
Rice,Alluvial soil,Rainy,39.4,66.1
Rice,Loamy soil,Rainy,28.1,67
Rice,Clay soil,Rainy,30.5,65.7
Rice,Alluvial soil,Rainy,20.7,76.9
Rice,Loamy soil,Rainy,32.9,68.5
Rice,Clay soil,Rainy,26.1,75.8
Rice,Alluvial soil,Rainy,26.5,76.2
Rice,Loamy soil,Rainy,30,60.2
Rice,Clay soil,Rainy,26,68.4
Rice,Alluvial soil,Rainy,31.2,71.9
Rice,Loamy soil,Rainy,24,60.6
Rice,Clay soil,Rainy,23.3,64.6
Rice,Alluvial soil,Rainy,28.4,72.7
Rice,Loamy soil,Rainy,30.7,77.6
Rice,Clay soil,Rainy,27.5,69.5
Rice,Alluvial soil,Rainy,21.7,61.8
Rice,Loamy soil,Rainy,31.6,63.5
Rice,Clay soil,Rainy,39,70.7
Rice,Alluvial soil,Rainy,31.5,72
Rice,Loamy soil,Rainy,35.1,63.8
Rice,Clay soil,Rainy,22.4,66.7
Rice,Alluvial soil,Rainy,21.3,69.8
Rice,Loamy soil,Rainy,27.5,60.4
Rice,Clay soil,Rainy,21.5,62.3
Rice,Alluvial soil,Rainy,38.7,69.8
Rice,Loamy soil,Rainy,29.9,79.1
Rice,Clay soil,Rainy,24.9,79.8
Rice,Alluvial soil,Rainy,34.8,62.8
Rice,Loamy soil,Rainy,23.9,61.2
Rice,Clay soil,Rainy,20.5,61.1
Rice,Alluvial soil,Rainy,27.9,77
Rice,Loamy soil,Rainy,27.2,68.6
Rice,Clay soil,Rainy,33.5,60.6
Rice,Alluvial soil,Rainy,25,73
Rice,Loamy soil,Rainy,22.5,79.4
Rice,Clay soil,Rainy,20.3,67.1
Rice,Alluvial soil,Rainy,39.7,71
Rice,Loamy soil,Rainy,22.4,75.1
Rice,Clay soil,Rainy,37.7,74
Rice,Alluvial soil,Rainy,27,70
Rice,Loamy soil,Rainy,20.3,60.5
Rice,Clay soil,Rainy,24,70.7
Rice,Alluvial soil,Rainy,37.6,73.2
Rice,Loamy soil,Rainy,28.8,73
Rice,Clay soil,Rainy,22.1,70.1
Rice,Alluvial soil,Rainy,34.9,65.5
Rice,Loamy soil,Rainy,29.7,73.9
Rice,Clay soil,Rainy,30,61.1
Rice,Alluvial soil,Rainy,30.9,77
Rice,Loamy soil,Rainy,36,75.7
Rice,Clay soil,Rainy,35.8,72.9
Rice,Alluvial soil,Rainy,26.1,60.6
Rice,Loamy soil,Rainy,29.9,79.1
Rice,Clay soil,Rainy,26.1,68.9
Rice,Alluvial soil,Rainy,24.7,80
Rice,Loamy soil,Rainy,24.8,75.7
Rice,Clay soil,Rainy,31.9,74.1
Rice,Alluvial soil,Rainy,38.8,67.5
Rice,Loamy soil,Rainy,33.4,68.8
Rice,Clay soil,Rainy,21.2,65.5
Rice,Alluvial soil,Rainy,34.5,74.2
Rice,Loamy soil,Rainy,24.7,76.1
Rice,Clay soil,Rainy,39,70
Rice,Alluvial soil,Rainy,24.7,76.8
Rice,Loamy soil,Rainy,39.7,60.9
Rice,Clay soil,Rainy,39.3,68.4
Rice,Alluvial soil,Rainy,39.9,60
Rice,Loamy soil,Rainy,32.7,79
Rice,Clay soil,Rainy,28.6,75.7
Rice,Alluvial soil,Rainy,24.5,65.6
Rice,Loamy soil,Rainy,24.6,60.6
Rice,Clay soil,Rainy,33.1,77.1
Rice,Alluvial soil,Rainy,31.8,73.4
Rice,Loamy soil,Rainy,25.8,60
Rice,Clay soil,Rainy,33.7,70.2
Rice,Alluvial soil,Rainy,23,68.6
Rice,Loamy soil,Rainy,27.4,70.7
Rice,Clay soil,Rainy,30.4,61.7
Rice,Alluvial soil,Rainy,32.4,75.4
Rice,Loamy soil,Rainy,27.1,80
Rice,Clay soil,Rainy,30.9,78.4
Rice,Alluvial soil,Rainy,23.2,73.4
Rice,Loamy soil,Rainy,24.6,74.4
Rice,Clay soil,Rainy,25.7,67
Rice,Alluvial soil,Rainy,32.9,76.2
Rice,Loamy soil,Rainy,37.6,70
Rice,Clay soil,Rainy,26.6,65.7
Rice,Alluvial soil,Rainy,24.4,68.3
Rice,Loamy soil,Rainy,33.5,72
Rice,Clay soil,Rainy,24.9,70.2
Rice,Alluvial soil,Rainy,23.4,68.7
Rice,Loamy soil,Rainy,30.8,68
Rice,Clay soil,Rainy,34.2,78.5
Rice,Alluvial soil,Rainy,23.6,67
Rice,Loamy soil,Rainy,24.7,77.3
Rice,Clay soil,Rainy,32.4,74.5
Rice,Alluvial soil,Rainy,30,68.2
Rice,Loamy soil,Rainy,37.8,63.1
Rice,Clay soil,Rainy,24.1,66.7
Rice,Alluvial soil,Rainy,31.3,79.3
Rice,Loamy soil,Rainy,39.4,69
Rice,Clay soil,Rainy,35.1,66.3
Rice,Alluvial soil,Rainy,28.4,64
Rice,Loamy soil,Rainy,29.3,78.2
Rice,Clay soil,Rainy,33.9,67.7
Rice,Alluvial soil,Rainy,22,74.6
Rice,Loamy soil,Rainy,26,60.3
Rice,Clay soil,Rainy,22.8,78.3
Rice,Alluvial soil,Rainy,21.9,65.5
Rice,Loamy soil,Rainy,28,69.9
Rice,Clay soil,Rainy,20.7,78.6
Rice,Alluvial soil,Rainy,21.2,78.2
Rice,Loamy soil,Rainy,23.6,65.1
Rice,Clay soil,Rainy,39.4,62.6
Rice,Alluvial soil,Rainy,26.3,71.7
Rice,Loamy soil,Rainy,34,76.5
Rice,Clay soil,Rainy,28,62.7
Rice,Alluvial soil,Rainy,25.5,72.5
Rice,Loamy soil,Rainy,30.6,76.2
Rice,Clay soil,Rainy,25.1,66.8
Rice,Alluvial soil,Rainy,33.2,76.3
Rice,Loamy soil,Rainy,36.2,74.7
Rice,Clay soil,Rainy,26.4,65.7
Rice,Alluvial soil,Rainy,20.9,69.5
Rice,Loamy soil,Rainy,36.7,71.1
Rice,Clay soil,Rainy,33.5,76
Rice,Alluvial soil,Rainy,30.6,70.4
Rice,Loamy soil,Rainy,21.5,75.7
Rice,Clay soil,Rainy,24.5,63.6
Rice,Alluvial soil,Rainy,28.7,76.7
Rice,Loamy soil,Rainy,23.2,72.3
Rice,Clay soil,Rainy,29.6,60.3
Rice,Alluvial soil,Rainy,38.7,72.7
Rice,Loamy soil,Rainy,27.3,61
Rice,Clay soil,Rainy,34.1,63.4
Rice,Alluvial soil,Rainy,33,78.5
Rice,Loamy soil,Rainy,28.1,77
Rice,Clay soil,Rainy,32,74.7
Rice,Alluvial soil,Rainy,33.2,65.4
Rice,Loamy soil,Rainy,31.2,75.4
Rice,Clay soil,Rainy,24.2,64.4
Rice,Alluvial soil,Rainy,36.2,68.3
Rice,Loamy soil,Rainy,23.3,78.9
Rice,Clay soil,Rainy,31.1,78.7
Rice,Alluvial soil,Rainy,23.1,68.1
Rice,Loamy soil,Rainy,24.7,60.8
Rice,Clay soil,Rainy,27.2,76.9
Rice,Alluvial soil,Rainy,32.1,63.1
Rice,Loamy soil,Rainy,20.1,72.7
Rice,Clay soil,Rainy,37.2,78.4
Rice,Alluvial soil,Rainy,36.5,77.1
Rice,Loamy soil,Rainy,27.2,75.1
Rice,Clay soil,Rainy,20.8,66.7
Rice,Alluvial soil,Rainy,39.6,75.6
Rice,Loamy soil,Rainy,37.4,72.5
Rice,Clay soil,Rainy,34.4,69.4
Rice,Alluvial soil,Rainy,24.3,69.9
Rice,Loamy soil,Rainy,35.1,66.7
Rice,Clay soil,Rainy,38.4,78.5
Rice,Alluvial soil,Rainy,26.6,61.5
Rice,Loamy soil,Rainy,25,79.2
Rice,Clay soil,Rainy,23.4,74.9
Rice,Alluvial soil,Rainy,29.3,75.9
Rice,Loamy soil,Rainy,35.6,74
Rice,Clay soil,Rainy,20,62
Rice,Alluvial soil,Rainy,34.7,79.1
Rice,Loamy soil,Rainy,21.6,61.4
Rice,Clay soil,Rainy,23.2,64.7
Rice,Alluvial soil,Rainy,31.8,78
Rice,Loamy soil,Rainy,26.3,70
Rice,Clay soil,Rainy,29.3,65.3
Rice,Alluvial soil,Rainy,29.7,74.4
Rice,Loamy soil,Rainy,25.7,64.5
Rice,Clay soil,Rainy,37.2,66
Rice,Alluvial soil,Rainy,39.4,62.3
Rice,Loamy soil,Rainy,34.7,63.4
Rice,Clay soil,Rainy,26.1,68.6
Rice,Alluvial soil,Rainy,38.9,63.6
Rice,Loamy soil,Rainy,37.9,79.7
Rice,Clay soil,Rainy,28.3,71
Rice,Alluvial soil,Rainy,27,74.1
Rice,Loamy soil,Rainy,31.4,62.8
Rice,Clay soil,Rainy,21.5,67.7
Rice,Alluvial soil,Rainy,35.1,63.1
Rice,Loamy soil,Rainy,21.9,76.5
Rice,Clay soil,Rainy,32.2,72.6
Rice,Alluvial soil,Rainy,28.2,66.9
Rice,Loamy soil,Rainy,27,75.6
Rice,Clay soil,Rainy,22.3,62
Rice,Alluvial soil,Rainy,26.3,66.6
Rice,Loamy soil,Rainy,36.3,78
Rice,Clay soil,Rainy,38.4,74.4
Rice,Alluvial soil,Rainy,24.7,60.9
Rice,Loamy soil,Rainy,34.3,76.5
Rice,Clay soil,Rainy,30.9,75.8
Rice,Alluvial soil,Rainy,33.9,68.9
Rice,Loamy soil,Rainy,32.4,69.5
Rice,Clay soil,Rainy,27,61.5
Rice,Alluvial soil,Rainy,30.9,68.6
Rice,Loamy soil,Rainy,28.6,69.1
Rice,Clay soil,Rainy,28.1,72.9
Rice,Alluvial soil,Rainy,36.7,65.5
Rice,Loamy soil,Rainy,31.2,61.4
Rice,Clay soil,Rainy,34,63.9
Rice,Alluvial soil,Rainy,39.7,65.8
Rice,Loamy soil,Rainy,38.9,72.8
Rice,Clay soil,Rainy,23.5,69.6
Rice,Alluvial soil,Rainy,27,65.8
Rice,Loamy soil,Rainy,21,73.5
Rice,Clay soil,Rainy,30.7,62.5
Rice,Alluvial soil,Rainy,29.5,67.6
Rice,Loamy soil,Rainy,33.6,75.1
Rice,Clay soil,Rainy,28.1,69.7
Rice,Alluvial soil,Rainy,37.7,79.5
Rice,Loamy soil,Rainy,21.4,69.2
Rice,Clay soil,Rainy,36.8,74.3
Rice,Alluvial soil,Rainy,34.3,62.2
Rice,Loamy soil,Rainy,35.5,75.7
Rice,Clay soil,Rainy,32.5,71.6
Rice,Alluvial soil,Rainy,24.8,75.1
Rice,Loamy soil,Rainy,23.8,71.2
Rice,Clay soil,Rainy,39.1,75
Rice,Alluvial soil,Rainy,30.9,76.4
Rice,Loamy soil,Rainy,36.1,61.5
Rice,Clay soil,Rainy,34.2,75.6
Rice,Alluvial soil,Rainy,31.1,66.5
Rice,Loamy soil,Rainy,20.9,72.8
Rice,Clay soil,Rainy,21.8,74.7
Rice,Alluvial soil,Rainy,20.8,63.5
Rice,Loamy soil,Rainy,38.5,71.4
Rice,Clay soil,Rainy,29.6,60.3
Rice,Alluvial soil,Rainy,21,78.5
Rice,Loamy soil,Rainy,25.5,72.1
Rice,Clay soil,Rainy,36,79
Rice,Alluvial soil,Rainy,30.5,79.7
Rice,Loamy soil,Rainy,38.3,75.1
Rice,Clay soil,Rainy,35.5,77.4
Rice,Alluvial soil,Rainy,37.7,74.4
Rice,Loamy soil,Rainy,38.4,71.1
Rice,Clay soil,Rainy,21.1,71.5
Rice,Alluvial soil,Rainy,37.9,72
Rice,Loamy soil,Rainy,34.6,66.6
Rice,Clay soil,Rainy,22.9,63.9
Rice,Alluvial soil,Rainy,27.8,73.8
Rice,Loamy soil,Rainy,32.5,67.4
Rice,Clay soil,Rainy,26.7,60.7
Rice,Alluvial soil,Rainy,39.1,77.3
Rice,Loamy soil,Rainy,24.5,75
Rice,Clay soil,Rainy,36.4,68.9
